dataset,arch,variant,variant_label,regularizer,reg_coeff,hinge_tau,weight_decay,seed,L,train_T,test_T,if_mode,spike_schedule,noise_position,noise_type,sigma,acc,checkpoint,matrix_csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,40,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.5,1.270000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed40_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed40_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,40,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.75,1.120000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed40_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed40_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,40,16,0,16,rate_uniform,normal,post_input_if,gaussian,3,1.040000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed40_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed40_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,62.570000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.25,62.240000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.5,56.330000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.75,33.760000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,9.780000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.25,2.840000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.5,1.620000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.75,1.270000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,2,1.060000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.25,1.020000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.5,1.010000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.75,1.060000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,3,1.020000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,62.270000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.25,62.200000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.5,58.360000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.75,40.790000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,15.250000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.25,4.780000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.5,2.340000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.75,1.910000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2,1.670000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.25,1.520000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.5,1.360000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.75,1.290000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,3,1.120000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,43,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,61.740000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed43_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed43_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_43.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,43,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.25,61.480000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed43_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed43_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_43.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,43,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.5,58.420000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed43_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed43_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_43.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,43,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.75,43.650000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed43_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed43_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_43.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,43,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,18.090000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed43_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed43_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_43.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,43,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.25,6.480000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed43_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed43_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_43.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,43,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.5,3.480000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed43_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed43_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_43.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,43,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.75,2.550000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed43_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_5seed/cifar100/mneablate_cifar100_weight_decay_rcnone_seed43_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_43.csv
