dataset,arch,method,method_label,regularizer,reg_coeff,weight_decay,seed,L,train_T,test_T,if_mode,spike_schedule,noise_position,noise_type,sigma,acc,checkpoint,matrix_csv
fashion_mnist,cnn2_c2_c4,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.75,15.370000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_four_regs_cnn2_c2_c4_weight_decay_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,3,14.800000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_four_regs_cnn2_c2_c4_weight_decay_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,82.190000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_calibrated_mne_cnn2_c2_c4_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.25,79.820000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_calibrated_mne_cnn2_c2_c4_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.5,65.920000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_calibrated_mne_cnn2_c2_c4_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.75,53.320000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_calibrated_mne_cnn2_c2_c4_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,41.250000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_calibrated_mne_cnn2_c2_c4_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.25,32.110000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_calibrated_mne_cnn2_c2_c4_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.5,25.980000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_calibrated_mne_cnn2_c2_c4_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.75,21.690000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_calibrated_mne_cnn2_c2_c4_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2,18.200000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_calibrated_mne_cnn2_c2_c4_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.25,16.050000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_calibrated_mne_cnn2_c2_c4_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.5,14.540000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_calibrated_mne_cnn2_c2_c4_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.75,13.340000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_calibrated_mne_cnn2_c2_c4_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,3,12.860000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_calibrated_mne_cnn2_c2_c4_l2_wo_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/weight_decay_weights_only/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,old_detach,Old MNE (detach λ),mne_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,81.940000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_four_regs_cnn2_c2_c4_old_detach_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/old_detach/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,old_detach,Old MNE (detach λ),mne_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.25,69.850000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_four_regs_cnn2_c2_c4_old_detach_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/old_detach/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,old_detach,Old MNE (detach λ),mne_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.5,61.670000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_four_regs_cnn2_c2_c4_old_detach_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/old_detach/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,old_detach,Old MNE (detach λ),mne_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.75,55.370000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_four_regs_cnn2_c2_c4_old_detach_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/old_detach/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,old_detach,Old MNE (detach λ),mne_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,44.450000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_four_regs_cnn2_c2_c4_old_detach_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/old_detach/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,old_detach,Old MNE (detach λ),mne_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.25,35.260000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_four_regs_cnn2_c2_c4_old_detach_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/old_detach/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,old_detach,Old MNE (detach λ),mne_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.5,29.130000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_four_regs_cnn2_c2_c4_old_detach_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/old_detach/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,old_detach,Old MNE (detach λ),mne_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.75,23.830000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_four_regs_cnn2_c2_c4_old_detach_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/old_detach/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,old_detach,Old MNE (detach λ),mne_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2,20.560000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_four_regs_cnn2_c2_c4_old_detach_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/old_detach/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,old_detach,Old MNE (detach λ),mne_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.25,18.070000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_four_regs_cnn2_c2_c4_old_detach_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/old_detach/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,old_detach,Old MNE (detach λ),mne_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.5,16.220000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_four_regs_cnn2_c2_c4_old_detach_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/old_detach/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,old_detach,Old MNE (detach λ),mne_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.75,14.440000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_four_regs_cnn2_c2_c4_old_detach_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/old_detach/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,old_detach,Old MNE (detach λ),mne_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,3,13.410000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_four_regs_cnn2_c2_c4_old_detach_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/old_detach/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,calibrated_mne_a0p1,Calibrated MNE (α=0.1),calibrated_mne_l2,0p0005,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,82.780000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_calibrated_mne_cnn2_c2_c4_cmne_a0p1_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/calibrated_mne_a0p1/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,calibrated_mne_a0p1,Calibrated MNE (α=0.1),calibrated_mne_l2,0p0005,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.25,80.670000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_calibrated_mne_cnn2_c2_c4_cmne_a0p1_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/calibrated_mne_a0p1/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,calibrated_mne_a0p1,Calibrated MNE (α=0.1),calibrated_mne_l2,0p0005,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.5,74.680000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_calibrated_mne_cnn2_c2_c4_cmne_a0p1_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/calibrated_mne_a0p1/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,calibrated_mne_a0p1,Calibrated MNE (α=0.1),calibrated_mne_l2,0p0005,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.75,62.900000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_calibrated_mne_cnn2_c2_c4_cmne_a0p1_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/calibrated_mne_a0p1/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c2_c4,calibrated_mne_a0p1,Calibrated MNE (α=0.1),calibrated_mne_l2,0p0005,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,50.180000,fashion_mnist-checkpoints/cnn2_c2_c4_L[16]_fashion_calibrated_mne_cnn2_c2_c4_cmne_a0p1_seed42_ep30_L16.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c2_c4/calibrated_mne_a0p1/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
